specialite,molecules,grammages,forme,labo,dci_signature,source_country,source_name,detail_url,atc_code,auth_number,source_ref,composition_raw,dosage_raw,presentation,distributeur,classe_therapeutique,statut,ppv_value,ppv_currency,prix_hospitalier,tableau,notice_url,nature_produit,ajoute_le,maj_le,scraped_at,last_seen,presentation_pretty,dosage_pretty,composition_pretty
FLUSTAPH 500 MG,flucloxacilline,500 mg,Gélule,NOVOPHARMA,flucloxacilline,MA,medicament.ma,https://medicament.ma/medicament/flustaph-500-mg-gelule/,J01CF05,,,Flucloxacilline,500 MG,Boîte de 12,NOVOPHARMA,"Antibiotique, pénicilline résistante aux bêtalactamases",Commercialisé,37.2,dhs,23.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 8 avril 2024 à 14:19,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 12,500 MG,Flucloxacilline
FLUZOFT 20 MG,fluoxétine,20 mg,Gélule [P],POLYMEDIC,fluoxétine,MA,medicament.ma,https://medicament.ma/medicament/fluzoft-20-mg-gelule-2/,N06AB03,,,Fluoxétine,20 MG,Boîte de 14,POLYMEDIC,Antidépresseur,Commercialisé,77.6,dhs,48.50 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:21,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 14,20 MG,Fluoxétine
FOLIFER,fer sulfate ferreux | acide folique,161.6 mg | 0.62 mg,Gélule,STERIPHARMA,acide folique + fer sulfate ferreux,MA,medicament.ma,https://medicament.ma/medicament/folifer-1616mg062mg-gelule/,B03AD03,,,Fer sulfate ferreux | Acide folique,161.6 MG | 0.62 MG,Boite de 28,STERIPHARMA,Antianémique,Commercialisé,46.7,dhs,29.20 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 8 avril 2024 à 14:27,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boite de 28,161.6 MG | 0.62 MG,Fer Sulfate Ferreux | Acide Folique
FOLINATE DE CALCIUM AGUETTANT 100 MG,folinate,100 mg,Lyophilisat injectable,HEMOLAB-PHARMA,folinate,MA,medicament.ma,https://medicament.ma/medicament/folinate-de-calcium-aguettant-100mg-poudre-injectable/,V03AF04,,,Folinate,100 MG,Boîte de 1 flacon,HEMOLAB-PHARMA,Modulateurs de l'activité des antimétabolites,Commercialisé,107.5,dhs,67.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 1 flacon,100 MG,Folinate
FLUZOFT 20 MG,fluoxétine,20 mg,Gélule [P],POLYMEDIC,fluoxétine,MA,medicament.ma,https://medicament.ma/medicament/fluzoft-20-mg-gelule/,N06AB03,,,Fluoxétine,20 MG,Boîte de 28,POLYMEDIC,"Antidépresseur, inhibiteur sélectif de la recapture de la sérotonine (ISRS)",Commercialisé,140.2,dhs,87.60 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:21,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 28,20 MG,Fluoxétine
FONDERMA 0.5 %,pyrithione,0.5 %,Emulsion,GALENICA,pyrithione,MA,medicament.ma,https://medicament.ma/medicament/fonderma-05-emulsion/,D11AX012,,,Pyrithione,0.5 %,Flacon de 60 ml,GALENICA,Préparation dermatologique,Commercialisé,13.3,dhs,8.30 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 27 octobre 2025 à 20:53,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Flacon de 60 ml,0.5 %,Pyrithione
FOLINATE DE CALCIUM AGUETTANT 50 MG,folinate,50 mg,Lyophilisat injectable,HEMOLAB-PHARMA,folinate,MA,medicament.ma,https://medicament.ma/medicament/folinate-de-calcium-aguettant-50mg-poudre-injectable/,V03AF03,,,Folinate,50 MG,Boîte de 10 flacons,HEMOLAB-PHARMA,Modulateurs de l'activité des antimétabolites,Commercialisé,632.0,dhs,420.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 8 avril 2024 à 14:28,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 10 flacons,50 MG,Folinate
FOLIO 200 µG / 150 µG,acide folique | iode,,Comprimé,STERIPHARMA,acide folique + iode,MA,medicament.ma,https://medicament.ma/medicament/folio-200%c2%b5g150%c2%b5g-comprime/,,,,Acide folique | iode,,Boite de 120,STERIPHARMA,,Commercialisé,,,,Aucun,,Complément alimentaire,Ajouté le: 20 septembre 2018 à 15:08,Mise à jour le: 14 février 2024 à 14:49,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boite de 120,,Acide Folique | Iode
FONDERMA 1 %,pyrithione,1 %,Solution,GALENICA,pyrithione,MA,medicament.ma,https://medicament.ma/medicament/fonderma-1-solution/,D11AX012,,,Pyrithione,1 %,Flacon de 60 ml,GALENICA,Préparation dermatologique,Commercialisé,14.5,dhs,9.10 dhs,,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 8 avril 2024 à 14:30,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Flacon de 60 ml,1 %,Pyrithione
FONGICAN 150 MG,fluconazole,150 mg,Gélule,PHARMED,fluconazole,MA,medicament.ma,https://medicament.ma/medicament/fongican-150-mg-gelule-3/,J02AC01,,,Fluconazole,150 MG,Boîte de 3,PHARMED,Antifongique,Commercialisé,47.7,dhs,29.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 3,150 MG,Fluconazole
FONGICAN 150 MG,fluconazole,150 mg,Gélule,PHARMED,fluconazole,MA,medicament.ma,https://medicament.ma/medicament/fongican-150-mg-gelule-4/,J02AC01,,,Fluconazole,150 MG,Boîte de 4,PHARMED,Antifongique,Commercialisé,63.5,dhs,39.70 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 4,150 MG,Fluconazole
FONGICAN 150 MG,fluconazole,150 mg,Gélule,PHARMED,fluconazole,MA,medicament.ma,https://medicament.ma/medicament/fongican-150-mg-gelule-7/,J02AC01,,,Fluconazole,150 MG,Boîte de 7,PHARMED,Antifongique,Commercialisé,105.6,dhs,66.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 7,150 MG,Fluconazole
FONGICAN 150 MG,fluconazole,150 mg,Gélule,PHARMED,fluconazole,MA,medicament.ma,https://medicament.ma/medicament/fongican-150-mg-gelule/,J02AC01,,,Fluconazole,150 MG,Boîte de 1,PHARMED,Antifongique,Commercialisé,20.4,dhs,12.70 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 1,150 MG,Fluconazole
FORACORT INHALATEUR 400 µg / 6 µg,budesonide | formoterol,400 µg | 6 µg,Suspension pour inhalation,CIPLA MAROC,budesonide + formoterol,MA,medicament.ma,https://medicament.ma/medicament/foracort-400-inhalateur-suspension-pour-inhalation/,R03AK07,,,Budesonide | Formoterol,400 µg | 6 µg,Boite de 120 doses,CIPLA MAROC,"Antiasthmatique, bêta-2-sympathomimétique avec glucocorticoïde",Commercialisé,225.0,dhs,140.90 dhs,A,,,Ajouté le: 7 octobre 2020 à 20:02,Mise à jour le: 15 octobre 2025 à 14:58,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boite de 120 doses,400 µg | 6 µg,Budesonide | Formoterol
FORACORT INHALATEUR 200 µg / 6 µg,budesonide | formoterol,200 µg | 6 µg,Suspension pour inhalation,CIPLA MAROC,budesonide + formoterol,MA,medicament.ma,https://medicament.ma/medicament/foracort-200-inhalateur-suspension-pour-inhalation/,R03AK07,,,Budesonide | Formoterol,200 µg | 6 µg,Boite de 120 doses,CIPLA MAROC,"Antiasthmatique, bêta-2-sympathomimétique avec glucocorticoïde",Commercialisé,189.5,dhs,118.40 dhs,A,,,Ajouté le: 7 octobre 2020 à 20:00,Mise à jour le: 15 octobre 2025 à 14:59,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boite de 120 doses,200 µg | 6 µg,Budesonide | Formoterol
FORTIZEN,ginseng | guarana | vitamines,,Gélule,NON RENSEIGNÉ,ginseng + guarana + vitamines,MA,medicament.ma,https://medicament.ma/medicament/fortizen-gelule/,,,,Ginseng | guarana | vitamines,,Boite de 30,NON RENSEIGNÉ,,Commercialisé,,,,Aucun,,Complément alimentaire,Ajouté le: 9 octobre 2021 à 11:34,Mise à jour le: 6 novembre 2023 à 09:16,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boite de 30,,Ginseng | Guarana | Vitamines
FORLAX 10 G,macrogol 4000,10 g,Poudre pour solution buvable en sachet,MAPHAR,macrogol 4000,MA,medicament.ma,https://medicament.ma/medicament/forlax-10-g-poudre-pour-solution-buvable/,A06AD15,,,Macrogol 4000,10 G,Boîte de 20,MAPHAR,Laxatif osmotique,Commercialisé,68.7,dhs,42.90 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 8 avril 2024 à 14:32,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,Boîte de 20,10 G,Macrogol 4000
FORMALAIR 12 µG,formotérol,12 µg,Poudre pour inhalation en gélule,ERGO MAROC,formotérol,MA,medicament.ma,https://medicament.ma/medicament/formalair-12-%c2%b5g-poudre-pour-inhalation-en-gelule/,R03AC13,,,Formotérol,12 µG,60 gélules,ERGO MAROC,"Antiasthmatique, bêta-2-sympathomimétique à longue durée d'action",Commercialisé,197.9,dhs,,A,,,Ajouté le: 14 novembre 2022 à 11:11,Mise à jour le: 14 novembre 2022 à 11:13,2025-11-08T02:40:12Z,2025-11-08T02:40:12Z,60 gélules,12 µG,Formotérol
FORTIA,complexe vitaminé + minéraux,,Comprimé effervescent sans sucre goût orange,COOPER PHARMA,complexe vitaminé + minéraux,MA,medicament.ma,https://medicament.ma/medicament/fortia-comprime-effervescent-sans-sucre-gout-orange/,,,,Complexe vitaminé + minéraux,,Boite de 20,COOPER PHARMA,,Commercialisé,,,,,,Complément alimentaire,Ajouté le: 9 octobre 2018 à 15:28,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boite de 20,,Complexe Vitaminé + Minéraux
FORTMAG 300 MG,,,Comprimé effervescent sans sucre,NON RENSEIGNÉ,,MA,medicament.ma,https://medicament.ma/medicament/fortmag-300-mg-comprime-effervescent-sans-sucre/,,,,,,Boite de 20 goût pamplemousse,NON RENSEIGNÉ,,Commercialisé,,,,Aucun,,Complément alimentaire,Ajouté le: 20 septembre 2018 à 15:01,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boite de 20 goût pamplemousse,,
FORTONE,l-arginine | extrait sec de maca | extrait sec de ginseng | extrait sec de ginkgo,l-arginine 300 mg | extrait sec de maca 200 mg | extrait sec de ginseng 40 mg | extrait sec de ginkgo 20 mg,Gélule,ARKOSANTE,extrait sec de ginkgo + extrait sec de ginseng + extrait sec de maca + l-arginine,MA,medicament.ma,https://medicament.ma/medicament/fortone-gelule/,,,,L-arginine | Extrait sec de maca | Extrait sec de ginseng | Extrait sec de ginkgo,L-arginine 300 MG | Extrait sec de maca 200 MG | Extrait sec de ginseng 40 MG | Extrait sec de ginkgo 20 MG,Boite de 30,ARKOSANTE,,Commercialisé,,,,Aucun,,,Ajouté le: 22 juin 2023 à 20:33,Mise à jour le: 22 juin 2023 à 20:37,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boite de 30,L-arginine 300 MG | Extrait sec de maca 200 MG | Extrait sec de ginseng 40 MG | Extrait sec de ginkgo 20 MG,L-Arginine | Extrait Sec De Maca | Extrait Sec De Ginseng | Extrait Sec De Ginkgo
FORXIGA 10 MG,dapagliflozine,10 mg,Comprimé pelliculé,MAPHAR,dapagliflozine,MA,medicament.ma,https://medicament.ma/medicament/forxiga-10-mg-comprime-pellicule/,A10BK01,,,Dapagliflozine,10 MG,Boite de 28,MAPHAR,"Antidiabétique, inhibiteur du co-transporteur sodium-glucose de type 2",Commercialisé,419.0,dhs,278.00 dhs,A,,,Ajouté le: 26 septembre 2019 à 18:01,Mise à jour le: 28 juillet 2024 à 08:20,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boite de 28,10 MG,Dapagliflozine
FORTRANS,macrogol 4000 | sulfate de sodium anhydre | bicarbonate de sodium | chlorure de sodium | chlorure de potassium,64 g,Poudre pour solution buvable en sachets,MAPHAR,bicarbonate de sodium + chlorure de potassium + chlorure de sodium + macrogol 4000 + sulfate de sodium anhydre,MA,medicament.ma,https://medicament.ma/medicament/fortrans-poudre-pour-solution-buvable/,A06AD65,,,Macrogol 4000 | Sulfate de sodium anhydre | Bicarbonate de sodium | Chlorure de sodium | Chlorure de potassium,64 G,Boîte de 4,MAPHAR,Laxatif osmotique,Commercialisé,132.9,dhs,83.10 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 8 avril 2024 à 14:33,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 4,64 G,Macrogol 4000 | Sulfate De Sodium Anhydre | Bicarbonate De Sodium | Chlorure De Sodium | Chlorure De Potassium
FOSAVANCE 70 MG / 5600 UI,acide alendronique | cholecalciferol,70 mg | 5600 ui,Comprimé,MAPHAR,acide alendronique + cholecalciferol,MA,medicament.ma,https://medicament.ma/medicament/fosavance-70-mg5600-ui-comprime/,M05BB03,,,ACIDE ALENDRONIQUE | CHOLECALCIFEROL,70 MG | 5600 UI,Boîte de 4,MAPHAR,Ostéoporose et autres désordres osseux > Bisphosphonates > Acide alendronique + vitamine D,Commercialisé,180.9,dhs,113.10 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 21 octobre 2025 à 10:27,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 4,70 MG | 5600 UI,Acide Alendronique | Cholecalciferol
FOSEAL 800 MG,sévélamer,800 mg,Comprimé pelliculé,GENERATION SANTE,sévélamer,MA,medicament.ma,https://medicament.ma/medicament/foseal-800-mg-comprime-pellicule/,V03AE02,,,Sévélamer,800 MG,Boite de 180,GENERATION SANTE,Chélateur du phosphate,Commercialisé,808.0,dhs,537.00 dhs,A,,,Ajouté le: 17 décembre 2019 à 21:26,Mise à jour le: 8 avril 2024 à 14:37,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boite de 180,800 MG,Sévélamer
FOSTER 100 µg / 6 µg,béclométasone | formotérol,100 µg | 6 µg,Poudre pour inhalation,PROMOPHARM (HIKMA),béclométasone + formotérol,MA,medicament.ma,https://medicament.ma/medicament/foster-100-%c2%b5g-6-%c2%b5g-poudre-pour-inhalation/,R03AK08,,,Béclométasone | Formotérol,100 µg | 6 µg,Inhalateur de 120 doses,PROMOPHARM (HIKMA),Association de corticoïde et de bronchodilatateur,Commercialisé,387.0,dhs,257.00 dhs,A,,,Ajouté le: 7 octobre 2020 à 15:45,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Inhalateur de 120 doses,100 µg | 6 µg,Béclométasone | Formotérol
FOSTER 100 µg / 6 µg,béclométasone | formotérol,100 µg | 6 µg,Solution pour inhalation,PROMOPHARM (HIKMA),béclométasone + formotérol,MA,medicament.ma,https://medicament.ma/medicament/foster-solution-pour-inhalation/,R03AK08,,,Béclométasone | Formotérol,100 µg / 6 µg,Solution pour inhalation 120 doses,PROMOPHARM (HIKMA),Association de corticoïde et de bronchodilatateur,Commercialisé,291.0,dhs,193.80 dhs,A,,Médicament,Ajouté le: 26 novembre 2013 à 18:35,Mise à jour le: 3 août 2021 à 18:53,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Solution pour inhalation 120 doses,100 µg | 6 µg,Béclométasone | Formotérol
FRAKIDEX 0.1%,framycétine | déxaméthasone,0.1 %,Collyre,ZENITH PHARMA,déxaméthasone + framycétine,MA,medicament.ma,https://medicament.ma/medicament/frakidex-01-collyre/,S01CA01,,,Framycétine | Déxaméthasone,0.1 %,Flacon de 5 ml,ZENITH PHARMA,Corticoide et anti-infectieux par voie locale,Commercialisé,23.0,dhs,14.40 dhs,A,,,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 8 avril 2024 à 14:39,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Flacon de 5 ml,0.1 %,Framycétine | Déxaméthasone
FPUR,fer élémentaire,,Solution buvable,BOTTU S.A.,fer élémentaire,MA,medicament.ma,https://medicament.ma/medicament/fpur-solution-buvable/,,,,Fer élémentaire,,Flacon de 100 ml,BOTTU S.A.,,Commercialisé,,,,Aucun,,,Ajouté le: 4 août 2020 à 10:48,Mise à jour le: 28 juin 2023 à 09:50,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Flacon de 100 ml,,Fer Élémentaire
FRAXIPARINE 2850 UI AXA / 0.3 ML,nadroparine,2850 ui ax a | 0.3 ml,Seringue pré-remplie,ZENITH PHARMA,nadroparine,MA,medicament.ma,https://medicament.ma/medicament/fraxiparine-2850-ui-axa03-ml-seringue-pre-remplie-2/,B01AB06,,,Nadroparine,2850 UI AX A / 0.3 ML,Boîte de 10 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,ZENITH PHARMA,Antithrombotique : Héparines de bas poids moléculaire,Commercialisé,286.0,dhs,190.40 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 28 juin 2023 à 09:52,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 10 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,2850 UI AX A | 0.3 ML,Nadroparine
FRAKIDEX 0.1 %,framycétine | déxaméthasone,0.1 %,Pommade ophtalmique,ZENITH PHARMA,déxaméthasone + framycétine,MA,medicament.ma,https://medicament.ma/medicament/frakidex-01-pommade-ophtalmique/,S01CA01,,,Framycétine | Déxaméthasone,0.1 %,Tube de 5 g,ZENITH PHARMA,Corticoide et anti-infectieux par voie locale,Commercialisé,19.4,dhs,12.10 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 8 avril 2024 à 14:39,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Tube de 5 g,0.1 %,Framycétine | Déxaméthasone
FRAXIPARINE 3800 UI AXA / 0.4 ML,nadroparine,3800 ui axa | 0.4 ml,Seringue pré-remplie,ZENITH PHARMA,nadroparine,MA,medicament.ma,https://medicament.ma/medicament/fraxiparine-3800-ui-axa04-ml-seringue-pre-remplie/,B01AB06,,,Nadroparine,3800 UI AXA / 0.4 ML,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,ZENITH PHARMA,Antithrombotique : Héparines de bas poids moléculaire,Commercialisé,76.5,dhs,47.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 28 juin 2023 à 09:54,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,3800 UI AXA | 0.4 ML,Nadroparine
FRAXIPARINE 2850 UI AXA / 0.3 ML,nadroparine,2850 ui axa | 0.3 ml,Seringue pré-remplie,ZENITH PHARMA,nadroparine,MA,medicament.ma,https://medicament.ma/medicament/fraxiparine-2850-ui-axa03-ml-seringue-pre-remplie/,B01AB06,,,Nadroparine,2850 UI AXA / 0.3 ML,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,ZENITH PHARMA,Antithrombotique : Héparines de bas poids moléculaire,Commercialisé,76.4,dhs,47.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 28 juin 2023 à 09:52,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,2850 UI AXA | 0.3 ML,Nadroparine
FRAXIPARINE 3800 UI AXA / 0.4 ML,nadroparine,3800 ui axa | 0.4 ml,Seringue pré-remplie,ZENITH PHARMA,nadroparine,MA,medicament.ma,https://medicament.ma/medicament/fraxiparine-3800-ui-axa04-ml-seringue-pre-remplie-2/,B01AB06,,,Nadroparine,3800 UI AXA / 0.4 ML,Boîte de 10 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,ZENITH PHARMA,Antithrombotique : Héparines de bas poids moléculaire,Commercialisé,322.0,dhs,214.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 28 juin 2023 à 09:54,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 10 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,3800 UI AXA | 0.4 ML,Nadroparine
FRAXIPARINE 5700 UI AXA / 0.6 ML,nadroparine,5700 ui axa | 0.6 ml,Seringue pré-remplie,ZENITH PHARMA,nadroparine,MA,medicament.ma,https://medicament.ma/medicament/fraxiparine-5700-ui-axa06-ml-seringue-pre-remplie/,B01AB06,,,Nadroparine,5700 UI AXA / 0.6 ML,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,ZENITH PHARMA,Antithrombotique : Héparines de bas poids moléculaire,Commercialisé,134.6,dhs,84.10 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 28 juin 2023 à 09:54,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,5700 UI AXA | 0.6 ML,Nadroparine
FUCIDINE 2 %,acide fusidique,2 %,Crème,POLYMEDIC,acide fusidique,MA,medicament.ma,https://medicament.ma/medicament/fucidine-2-pour-cent-creme/,J01XC01,,,Acide fusidique,2 %,Tube de 15 g,POLYMEDIC,"Antibiotique, acide fusidique",Commercialisé,37.1,dhs,23.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:41,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Tube de 15 g,2 %,Acide Fusidique
FRAXIPARINE 7600 UI AXA / 0.8 ML,nadroparine,7600 ui axa | 0.8 ml,Seringue pré-remplie,ZENITH PHARMA,nadroparine,MA,medicament.ma,https://medicament.ma/medicament/fraxiparine-7600-ui-axa08-ml-seringue-pre-remplie/,B01AB06,,,Nadroparine,7600 UI AXA / 0.8 ML,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,ZENITH PHARMA,Antithrombotique : Héparines de bas poids moléculaire,Commercialisé,178.2,dhs,111.30 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 28 juin 2023 à 09:54,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 2 Voie sous-cutanée (en dehors de l'indication en hémodialyse).,7600 UI AXA | 0.8 ML,Nadroparine
FUCIDINE 2 %,acide fucidique,2 %,Pommade,POLYMEDIC,acide fucidique,MA,medicament.ma,https://medicament.ma/medicament/fucidine-2-pour-cent-pommade/,J01XC01,,,Acide fucidique,2 %,Tube de 15 g,POLYMEDIC,ANTIBACTERIEN,Commercialisé,37.1,dhs,23.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:42,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Tube de 15 g,2 %,Acide Fucidique
FUCIDINE ENFANT 250 MG / 5 ML,acide fusidique,250 mg | 5 ml,Suspension buvable,POLYMEDIC,acide fusidique,MA,medicament.ma,https://medicament.ma/medicament/fucidine-enfant-250-mg-5-ml-suspension-buvable/,J01XC01,,,Acide fusidique,250 MG / 5 ML,Flacon de 90 ml,POLYMEDIC,"Antibiotique, acide fusidique",Commercialisé,210.0,dhs,131.70 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:42,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Flacon de 90 ml,250 MG | 5 ML,Acide Fusidique
FUCIDINE 250 MG,fusidate de sodium,250 mg,Comprimé pelliculé,POLYMEDIC,fusidate de sodium,MA,medicament.ma,https://medicament.ma/medicament/fucidine-250-mg-comprime-pellicule/,J01XC01,,,Fusidate de sodium,250 MG,Boîte de 10,POLYMEDIC,"Antibiotique, acide fusidique",Commercialisé,125.7,dhs,78.60 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:40,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 10,250 MG,Fusidate De Sodium
FUCITHALMIC 1 %,acide fusidique,1 %,Gel ophtalmique,POLYMEDIC,acide fusidique,MA,medicament.ma,https://medicament.ma/medicament/fucithalmic-1-pour-cent-gel-ophtalmique/,S01AA13,,,Acide fusidique,1 %,Tube de 3 g,POLYMEDIC,Antibiotique de la famille des fusidanines.,Commercialisé,34.7,dhs,21.70 dhs,A,,,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 8 avril 2024 à 14:43,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Tube de 3 g,1 %,Acide Fusidique
FULPHILA 6 MG / 0.6 ML,pegfilgrastim,6 mg | 0.6 ml,Solution injectable pour injection sous cutanée de 0.6 ML,VIATRIS PHARMACEUTICALS,pegfilgrastim,MA,medicament.ma,https://medicament.ma/medicament/fulphila-6-mg-0-6-ml-solution-injectable-pour-injection-sous-cutanee-de-0-6-ml/,L03AA13,,,Pegfilgrastim,6 MG / 0.6 ML,Boite d'une seringue pré-remplie de 0.6 ML,VIATRIS PHARMACEUTICALS,"Immunostimulants, facteur de stimulation des colonies",Commercialisé,6742.0,dhs,6528.00 dhs,A,,,Ajouté le: 12 mars 2023 à 16:42,Mise à jour le: 7 juin 2024 à 10:55,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boite d'une seringue pré-remplie de 0.6 ML,6 MG | 0.6 ML,Pegfilgrastim
FUMAFER,fumarate ferreux,66 mg,Comprimé pelliculé,SYNTHEMEDIC,fumarate ferreux,MA,medicament.ma,https://medicament.ma/medicament/fumafer-66-mg-comprime-pellicule/,B03AA10,,,Fumarate Ferreux,66 MG,Boîte de 100,SYNTHEMEDIC,Antianémique,Commercialisé,23.4,dhs,14.60 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 8 avril 2024 à 14:45,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Boîte de 100,66 MG,Fumarate Ferreux
FUNGILYSE 1 %,econazole,1 %,Crème dermique,LAPROPHAN,econazole,MA,medicament.ma,https://medicament.ma/medicament/fungilyse-1-creme-dermique/,D01AC03,,,Econazole,1 %,Tube de 25 g,LAPROPHAN,Antifongique,Commercialisé,15.2,dhs,9.50 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 8 avril 2024 à 14:46,2025-11-08T02:40:13Z,2025-11-08T02:40:13Z,Tube de 25 g,1 %,Econazole
